"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"ABIES","","Abies","","Abies","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","","Abies","","amabilis","","","","","","","","","","","(Douglas ex Loudon) Douglas ex Forbes","","","",""
"ABLA","","Abies lasiocarpa","","Abies","","lasiocarpa","","","","","","","","","","","(Hook.) Nutt.","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","","Abies","","lasiocarpa","","","","var.","","lasiocarpa","","","","","(Hook.) Nutt.","(Hook.) Nutt.","","",""
"ABLAL","ABBAL","Abies balsamea ssp. lasiocarpa","","Abies","","balsamea","ssp.","","lasiocarpa","","","","","","","","(L.) Mill.","(Hook.) B. Boivin","","",""
"ABLAL","ABBAF","Abies balsamea var. fallax","","Abies","","balsamea","","","","var.","","fallax","","","","","(L.) Mill.","(Engelm.) B. Boivin","","",""
"ABLAL","ABBI3","Abies bifolia","","Abies","","bifolia","","","","","","","","","","","A. Murray bis","","","",""
"ABLAL","ABLAB","Abies lasiocarpa ssp. bifolia","","Abies","","lasiocarpa","ssp.","","bifolia","","","","","","","","(Hook.) Nutt.","(A. Murray bis) Silba","","",""
"ABLAL","ABLAB2","Abies lasiocarpa var. bifolia","","Abies","","lasiocarpa","","","","var.","","bifolia","","","","","(Hook.) Nutt.","(A. Murray bis) Eckenw.","","",""
"ABLAL","ABSU","Abies subalpina","","Abies","","subalpina","","","","","","","","","","","Engelmann","","","",""
"ACARO2","","Acarospora","","Acarospora","","","","","","","","","","","","","","","","",""
"ACER","","Acer","","Acer","","","","","","","","","","","","","","","","",""
"ACCI","","Acer circinatum","","Acer","","circinatum","","","","","","","","","","","Pursh","","","",""
"ACGL","","Acer glabrum","","Acer","","glabrum","","","","","","","","","","","Torr.","","","",""
"ACGLD4","","Acer glabrum var. douglasii","","Acer","","glabrum","","","","var.","","douglasii","","","","","Torr.","(Hook.) Dippel","","",""
"ACGLD4","ACDO","Acer douglasii","","Acer","","douglasii","","","","","","","","","","","Hook.","","","",""
"ACGLD4","ACGLD2","Acer glabrum ssp. douglasii","","Acer","","glabrum","ssp.","","douglasii","","","","","","","","Torr.","(Hook.) Wesmael","","",""
"ACHIL","","Achillea","","Achillea","","","","","","","","","","","","","","","","",""
"ACMI2","","Achillea millefolium","","Achillea","","millefolium","","","","","","","","","","","L.","","","",""
"ACMIA","","Achillea millefolium var. alpicola","","Achillea","","millefolium","","","","var.","","alpicola","","","","","L.","(Rydb.) Garrett","","",""
"ACMIA","ACAL11","Achillea alpicola","","Achillea","","alpicola","","","","","","","","","","","(Rydb.) Rydb.","","","",""
"ACMIA","ACFU","Achillea fusca","","Achillea","","fusca","","","","","","","","","","","Rydb.","","","",""
"ACMIA","ACLAA","Achillea lanulosa ssp. alpicola","","Achillea","","lanulosa","ssp.","","alpicola","","","","","","","","Nutt.","(Rydb.) D.D. Keck","","",""
"ACMIA","ACLAA2","Achillea lanulosa var. alpicola","","Achillea","","lanulosa","","","","var.","","alpicola","","","","","Nutt.","Rydb.","","",""
"ACMIA","ACMIF","Achillea millefolium var. fusca","","Achillea","","millefolium","","","","var.","","fusca","","","","","L.","(Rydb.) G.N. Jones","","",""
"ACMIA","ACSU3","Achillea subalpina","","Achillea","","subalpina","","","","","","","","","","","Greene","","","",""
"ACMIB","","Achillea millefolium var. borealis","","Achillea","","millefolium","","","","var.","","borealis","","","","","L.","(Bong.) Farw.","","",""
"ACMIB","ACBO","Achillea borealis","","Achillea","","borealis","","","","","","","","","","","Bong.","","","",""
"ACMIB","ACBOT","Achillea borealis ssp. typica","","Achillea","","borealis","ssp.","","typica","","","","","","","","Bong.","D.D. Keck","","",""
"ACMIB","ACMIA3","Achillea millefolium ssp. atrotegula","","Achillea","","millefolium","ssp.","","atrotegula","","","","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIB2","Achillea millefolium ssp. borealis","","Achillea","","millefolium","ssp.","","borealis","","","","","","","","L.","(Bong.) Breitung","","",""
"ACMIB","ACMIF2","Achillea millefolium var. fulva","","Achillea","","millefolium","","","","var.","","fulva","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIP3","Achillea millefolium var. parviligula","","Achillea","","millefolium","","","","var.","","parviligula","","","","","L.","B. Boivin","","",""
"ACMIB","ACMIP4","Achillea millefolium var. parvula","","Achillea","","millefolium","","","","var.","","parvula","","","","","L.","B. Boivin","","",""
"ACMIN","","Achillea millefolium var. nigrescens","","Achillea","","millefolium","","","","var.","","nigrescens","","","","","L.","E. Mey.","","",""
"ACMIN","ACNI4","Achillea nigrescens","","Achillea","","nigrescens","","","","","","","","","","","(E. Mey.) Rydb.","","","",""
"ACMIO","","Achillea millefolium var. occidentalis","","Achillea","","millefolium","","","","var.","","occidentalis","","","","","L.","DC.","","",""
"ACMIO","ACAN7","Achillea angustissima","","Achillea","","angustissima","","","","","","","","","","","Rydb.","","","",""
"ACMIO","ACAS2","Achillea aspleniifolia","","Achillea","","aspleniifolia","","","","","","","","","","","auct. non Vent.","","","",""
"ACMIO","ACER2","Achillea eradiata","","Achillea","","eradiata","","","","","","","","","","","Piper","","","",""
"ACMIO","ACGR5","Achillea gracilis","","Achillea","","gracilis","","","","","","","","","","","Raf.","","","",""
"ACMIO","ACLA5","Achillea lanulosa","","Achillea","","lanulosa","","","","","","","","","","","Nutt.","","","",""
"ACMIO","ACLAT","Achillea lanulosa ssp. typica","","Achillea","","lanulosa","ssp.","","typica","","","","","","","","Nutt.","D.D. Keck","","",""
"ACMIO","ACLAA3","Achillea lanulosa var. arachnoidea","","Achillea","","lanulosa","","","","var.","","arachnoidea","","","","","Nutt.","Lunell","","",""
"ACMIO","ACLAE","Achillea lanulosa var. eradiata","","Achillea","","lanulosa","","","","var.","","eradiata","","","","","Nutt.","(Piper) M. Peck","","",""
