code,title
eriaqu,Eriogonum flavum var. aquilinum
doulae,Douglasia laevigata
dramul,Draba mulliganii
antarc,Anthoxanthum arcticum
mecwri,Mecodium wrightii
crysit,Cryptogramma crispa var. sitchensis
cypxal,Cypripedium x alaskanum
equis,Equisetum sp.
lycsel2,Lycopodium selago var. densa
pollon,Polystichum lonchitis
lycsab,Lycopodium sabinaefolium var. sitchense
equpal,Equisetum palustre
agrmer,Agrostis mertensii
lobdor,Lobelia dortmanna
phlalp,Phleum alpinum
trispi1,Trisetum spicatum
piclut,Picea x lutzii
polale,Polystichum aleuticum
artlut,Artemisia globularia var. lutea
carala,Carex brunnescens ssp. alaskana
craaqu,Crassula aquatica
erikam,Erigeron acris ssp. kamtschaticus
pricun1,Primula cuneifolia ssp. cuneifolia
saxarc,Saxifraga rivularis ssp. arctolitoralis
symfal,Symphyotrichum falcatum var. falcatum
rumkra,Rumex krausei
rubleu,Rubus leucodermis
isocer,Isolepis cernua var. cernua
geuxma,Geum x macranthum
blespi,Blechnum spicant
thelim,Thelypteris limbosperma
lycinu1,Lycopodium inundatum
ophala,Ophioglossum vulgatum var. alaskanum
athdis,Athyrium distentifolium ssp. americanum
athfil,Athyrium filix-femina ssp. cyclosorum
cryste,Cryptogramma stelleri
crycri,Cryptogramma crispa
selsel,Selaginella selaginoides
polmic,Polystichum microchlamys
matstr,Matteuccia struthiopteris
micocc,Micranthes occidentalis
wooalp,Woodsia alpina
woogla,Woodsia glabella
equpra,Equisetum pratense
equsyl,Equisetum sylvaticum
lycann,Lycopodium annotinum
lyccla,Lycopodium clavatum
lyccom,Lycopodium complanatum
lycalp,Lycopodium alpinum
botbor,Botrychium boreale
botala,Botrychium alaskense
botlan,Botrychium lanceolatum
botlun,Botrychium lunaria
selsib,Selaginella sibirica
thephe,Thelypteris phegopteris
botmon,Botrychium montanum
botpin,Botrychium pinnatum
bottun,Botrychium tunux
huphal,Huperzia haleakalae
equsci,Equisetum scirpoides
bothyb,Botrychium hybrid
botlin,Botrychium lineare
botmin,Botrychium minganense
equflu,Equisetum fluviatile
cysfra,Cystopteris fragilis
cysmon,Cystopteris montana
cryacr,Cryptogramma crispa var. acrostichoides
myopal,Myosotis palustris
wooilv,Woodsia ilvensis
dupfis1,Dupontia fisheri
horjub,Hordeum jubatum
fesrub3,Festuca rubra ssp. pruinosa
corvar,Coronilla varia
salsel,Selaginella selaginoides
polkru,Polystichum kruckebergii
botry,Botrychium sp.
genbar2,Gentiana barbata / Gentiana detonsa
myrfar,Myriophyllum farwellii
arnalp1,Arnica alpina
thely,Thelypteris sp.
oxyarc2,Oxytropis arctica
arncha1,Arnica chamissonis
asteuc1,Astragalus eucosmus
lycden,Lycopodium dendroideum
botyaa,Botrychium yaaxudakeit
dessop1,Descurainia sophia
elyala1,Elymus alaskanus
esccal,Eschscholzia californica
salpul1,Salix pulchra
equhie,Equisetum hiemale var. californicum
luzpar,Luzula parviflora
equarv,Equisetum arvense
orouni,Orobanche uniflora
podhum,Podagrostis humilis
trisib,Trisetum sibiricum
pucban,Puccinellia banksiensis
alipla,Alisma plantago-aquatica
alitri,Alisma triviale
allvin,Allium vineale
eriela,Erigeron elatus
